GeneSymbol	Intestinal Epithelial Cells	Intestinal Epithelial Cells	Intestinal Epithelial Cells	Intestinal Epithelial Cells	Intestinal Epithelial Cells	Intestinal Epithelial Cells	Intestinal Epithelial Cells	Intestinal Epithelial Cells	Intestinal Epithelial Cells	Intestinal Epithelial Cells
MTOR	3.0	11.0	10.0	8.0	9.0	11.0	13.0	11.0	12.0	6.0
MTOR-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ANGPTL7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
UBIAD1	5.0	4.0	5.0	4.0	7.0	5.0	6.0	5.0	5.0	8.0
AL031291.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DISP3	9.0	9.0	8.0	10.0	7.0	6.0	5.0	5.0	4.0	3.0
LINC01647	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AL031731.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FBXO2	4.0	2.0	1.0	2.0	3.0	4.0	5.0	4.0	3.0	2.0
FBXO44	0.0	1.0	2.0	1.0	3.0	2.0	2.0	0.0	1.0	0.0
FBXO6	3.0	3.0	3.0	3.0	4.0	4.0	4.0	3.0	3.0	0.0
MAD2L2	7.0	4.0	6.0	12.0	5.0	16.0	16.0	13.0	13.0	8.0
DRAXIN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AGTRAP	6.0	6.0	6.0	3.0	2.0	2.0	2.0	6.0	2.0	3.0
C1orf167	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0
AL953897.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MTHFR	10.0	11.0	13.0	8.0	14.0	14.0	14.0	16.0	9.0	15.0
CLCN6	7.0	4.0	7.0	7.0	4.0	6.0	3.0	8.0	8.0	7.0
NPPA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AL021155.5	27.0	29.0	32.0	28.0	36.0	28.0	34.0	33.0	35.0	27.0
KIAA2013	4.0	4.0	4.0	3.0	5.0	4.0	2.0	5.0	6.0	3.0
PLOD1	3.0	3.0	5.0	3.0	3.0	7.0	5.0	3.0	2.0	1.0
AL096840.2	5.0	3.0	3.0	2.0	2.0	3.0	4.0	2.0	3.0	5.0
MFN2	12.0	13.0	11.0	8.0	12.0	11.0	9.0	8.0	7.0	7.0
MIIP	10.0	12.0	10.0	8.0	13.0	11.0	15.0	8.0	11.0	10.0
TNFRSF8	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0
TNFRSF1B	1.0	0.0	0.0	2.0	1.0	1.0	0.0	2.0	1.0	1.0
