GeneSymbol	D3_ISO7_IEL_1	D3_ISO7_IEL_2	D4_ISO7_IEL_1	D4_ISO7_IEL_2
B4GALT7	16.45	0	0	0
SH2D2A	10.6	48.73	0	0
VRK2	0.12	17.09	0	0
TNFRSF1B	10.48	8.49	0	0.19
VEZT	17.51	0	0	0
POU2F2	0	247.41	0	0
BRD9	0	0	0	0
SNX1	36.47	0	0	6.35
TBPL1	0	15.18	0	0
ARNTL2	0	0	0	0
BCLAF1	199.2	278.22	0	39.62
SLC39A9	6.69	0	0	0
ANK1	0	0	0	0
IBSP	0	0	0	0
TFB1M	21.17	8.33	0	0
RABEP1	150.94	48.72	0	144.29
HMGB3	57.17	42.5	0	0
NUP160	259.05	7.29	0	0
BAK1	0	0	0	34.93
MUSK	0	0	0	0
IKZF2	103.36	6.27	0	0
GRN	119.92	0	3.53	0
FAM13B	31.41	231.37	0	0
ARHGAP31	2.06	4.14	0	0
CENPQ	0.63	0	0	0
SARS	118.87	54.49	0	59.87
RANBP3	179.36	41.66	0	106.44
ARID4A	12.53	7.95	0	4.76
EIPR1	0	0	0	0
PNPLA6	9.15	1.33	0	0
IFT88	0	0	0	0
ALG1	0	0	0	10.11
ZCCHC8	16.81	6.25	0	0
ABCF2	18.99	0	0	0
CHPF2	10.43	0	0	177.11
LRRC7	1.35	0	0	0
FUT8	33.75	0	0	0
UBA6	6.75	0	0	12.95
GAB2	1.49	44.14	0	0
ATP6V0A1	0	4.71	0	0
PIAS1	80.91	131.85	0	0
SLC4A7	0.43	10.57	0	0
APBA2	12.68	15.85	0	0
MAP2K3	0	0	0	0
EFCAB1	0	0	0	0
TMSB10	735.79	890.35	0	0
ASTE1	0	0	0	0
RNF19A	37.78	0	0	450.92
PEX3	14.13	0	1076.87	0.13
GABARAPL2	0	0	0	0
MYOC	0	0	0	0
SH3YL1	0	0	0	0
FAM136A	4.26	0	0	38.12
VCL	0	0	0	0
DEPDC1B	15.48	3.5	0	0
DAPK2	0	0	0	0
NSMAF	36.07	16.86	0	0
ADSS	2.08	7.17	0	0
STAP1	0	0	0	0
TIMP2	0	0	0	0
RFC1	103.76	0	0	62.82
TBC1D23	4.48	18.42	0	0
CUL3	0	4.19	0	0
MYOM2	28.15	41.74	0	0
OTC	0	0	0	0
CYP46A1	4.9	0	0	0
AC118549.1	5.83	8.93	0	0.43
SLC18A1	0	0	0	0
USP2	4.16	0	0	0
CASR	6.06	8.56	0	0
TUBG2	4.17	0	0	0
RPL26L1	103.41	378.3	0	0
FLT4	0	0	0	0
NSUN2	32.32	9.55	0	0.16
FBXO42	20.51	28.9	0	0
MFAP3	14.83	0.3	0	164.95
MRI1	0	7.93	0	0
METTL1	0	0	0	0
HOXC8	0	0	0	0
