GeneSymbol	D3_ISO1_HEP_L_1	D3_ISO1_HEP_L_2	D3_ISO2_HEP_1	D3_ISO2_HEP_2	D3_INT_HEP_PI_1	D3_INT_HEP_PI_2	D3_INT_HEP_LPS_1	D3_INT_HEP_LPS_2	D3_INT_HEP_5OP_1	D3_INT_HEP_5OP_2	D3_INT_HEP_C_1	D3_INT_HEP_C_2	D3_INT_HEP_GL_C
CACNA2D2	0.4	0.09	0.09	0.15	0.01	0	0.01	0.01	0.11	0.04	0.08	0	0.02
BAIAP3	0.59	0.46	0.7	0.42	0.3	0.84	0.49	0.41	0.34	0.28	0.2	0.35	0.24
TSR3	14.38	17.58	26.79	18.9	22.22	26.7	18.58	19.16	19.04	11.13	12.81	12.65	20.9
PIGQ	1.71	1.52	2.01	1.67	1.11	1.21	2.53	1.14	2.17	1.12	1.35	1.17	1.82
CRAMP1	1.3	3.73	1.83	1.29	0.93	1.05	1.27	1.06	3.13	0.98	1	0.79	1.55
TEAD3	1.77	1.73	1.15	1.45	1.96	3.45	1.71	2.07	2.44	1.43	1.64	1.67	2.11
SELE	3.16	7.23	0.28	0.23	0.01	0.02	0.01	0.17	0.02	0.07	0.03	0.16	0.06
DNAJC11	22.27	22.16	27.02	21.11	25.43	22.8	24.17	18.07	24.5	18.44	24.52	22.19	21.84
FMO3	7.27	9.19	10.95	9.12	3.73	3.28	3.67	3.18	3.86	2.83	4.7	3.32	3.03
MYLIP	0.17	0.48	0.05	0.16	0.23	0.13	0.24	0.08	0.3	0.08	0.14	0.1	0.14
NOX1	0	0.01	0	0.01	0.01	0	0	0	0	0	0.02	0	0
E2F2	0.81	0.86	0.95	0.84	0.36	0.3	0.21	0.28	0.31	0.09	0.32	0.16	0.15
PSMB1	67.7	73.64	69.77	61.21	55.63	44.63	50.76	48.99	50.88	49.12	51.06	53.45	49.62
SYN1	0.53	0.72	0.07	0.04	0.02	0.05	0.05	0.08	0.13	0	0.12	0.03	0.04
JARID2	1.33	1.68	1.68	1.39	0.67	0.79	0.69	0.63	0.84	0.81	0.88	0.7	0.97
CDKL5	0.67	0.3	0.71	0.51	0.67	0.31	0.32	0.13	0.27	0.21	0.23	0.21	0.27
CAMK1G	0.2	0.51	0.04	0.03	0.03	0	0.18	0	0.14	0.09	0.05	0.11	0.08
CDK11A	5.24	6.99	5.74	5.2	5.2	6.92	6.32	4.97	7.23	5.12	6.74	4.67	6.41
NADK	12.57	14.61	17.12	12.98	15.24	15.52	15.03	14.47	18.58	14.8	16.4	13.13	15.49
TFAP2B	0.09	0.05	0.03	0.04	0.02	0.01	0	0.02	0.24	0.01	0.06	0.02	0.08
TFAP2D	0.04	0	0	0.03	0.01	0	0	0	0.06	0	0.03	0	0.08
DLEC1	0.45	0.21	0.19	0.1	0	0.07	0.07	0.03	0.13	0.08	0.09	0.11	0.06
CYTH3	1.43	3.16	4.82	2.51	1.74	1.4	1.63	1.24	2.13	2.03	2.06	2.9	2.98
ADAM22	0.16	0.08	0.14	0.07	0.03	0.01	0.02	0.01	0.09	0.02	0.02	0.04	0.03
SYPL1	11.73	12.59	13.08	12.01	8.26	8.17	6.5	6.04	7.53	7.73	6.34	6.65	7.15
CYB561	5.16	5.26	4.22	4.92	5.12	5.75	4.5	3.8	4.54	3.04	4.94	3.97	3.98
SPAG9	21.09	25.86	26.12	20.01	19.44	17.95	20.12	16.21	19.75	19.35	21.87	16.33	24.63
CELSR3	0.16	0.25	0.07	0.13	0.11	0.06	0.05	0.07	0.06	0.02	0.1	0.09	0.04
AASS	1.38	1.88	2.09	1.68	0.83	0.58	0.7	0.43	0.62	0.6	0.65	0.54	0.59
PLEKHG6	1.27	0.31	0.95	1.11	0.59	0.9	0.3	0.4	0.59	0.41	0.46	0.35	0.45
SS18L2	3.43	3.4	2.13	3.51	2.89	1.16	2.9	2.28	1.46	2.67	2.06	3.19	2.45
MPND	6.73	6.26	5.88	5.28	2.76	3.69	4.64	5.58	5.43	7.32	5.44	4.64	3.92
MGST1	424.69	465.64	547.63	563.19	588.07	581.35	534.29	446.27	536.91	578.79	542.4	596.74	525.63
CRY1	5.31	5.54	8.01	6.62	4.65	2.65	3.29	3.92	3.65	2.63	3.28	3.29	3.47
PGLYRP1	0	0	0	0	0	0	0	0	0	0	0	0	0
NFIX	7.64	7.64	8.43	6.1	6.63	7.08	7.46	6.41	7.59	5.82	7.62	5.18	7.33
ST3GAL1	11.35	14.77	13.85	11.55	8.88	8.06	10.55	9.05	11.26	10.46	12.66	9.68	10.75
MMP25	0.94	1.67	0.18	0.45	0.11	0.05	0.39	0.24	0.05	0.13	0.08	0.26	0.09
IL32	1385.93	1493.95	494.47	457.92	810.53	871.05	1013.67	914.14	936.05	926.96	778.36	978.31	527.49
PKD1	3.63	5.03	3.93	4.1	4	3.22	5.67	3.56	6.07	3.1	3.33	2.11	5.37
MAPK8IP2	0.22	0.16	0.16	0.11	0.11	0.09	0.07	0.06	0.14	0.08	0.13	0.11	0.15
MED24	10.58	9.72	9.85	12.54	7.87	12.71	10.14	10.07	12.56	8.44	11.61	9.37	11.38
RHOBTB2	1.66	1.55	2.32	3.26	1.67	1.27	1.59	1.99	2.72	1.95	1.73	1.54	2.15
HEATR5B	2.11	1.88	1.94	2.23	1.24	0.91	1.53	1.13	1.15	1.16	2.04	1.19	1.31
SEC62	53.43	66.58	70.88	71.19	68.96	62.13	65.67	56.2	69.11	66.86	73.47	59.43	63.31
