GeneSymbol	D3_INT_EPI_GL_C	D3_ISO2_EPI_1	D3_ISO2_EPI_2
FAM160A2	6.2	9.71	7.24
HERPUD1	16.97	19.33	18.03
HOMER3	0.73	0.17	0.62
RAD51	0.28	0.42	0.12
POLQ	0.01	0	0.03
PIK3CB	9.42	8.77	17.09
CYBA	112.77	72.31	91.02
THOC3	2.16	1.55	2.24
HEBP2	15.14	15.32	17.57
MPHOSPH9	2.29	1.01	1.45
PLEKHA5	4.8	5.93	4.92
PRSS8	52.83	84.35	76.3
SIKE1	10.25	8.76	10
RRP12	1.55	0.98	2.14
FNIP2	5.67	5.05	3.81
MSMO1	42.14	75.62	73.81
TTC17	5.48	5.45	6.74
ALX4	0	0	0.01
FSTL4	0	0.23	0.01
FOXN3	2.55	2.03	1.05
METTL24	0	0	0
AKR7A2	24.33	28.17	29.21
MRTO4	0.86	1.65	1.05
NNAT	0.26	0.75	2.13
USE1	1.59	2.34	2.24
MCF2L2	0.41	0.5	0.53
NRIP2	0.12	0.05	0.29
LAMA3	35.64	56.42	59.86
AP5M1	5.53	4.58	5.57
ANAPC4	3.07	2.03	3.96
KCNQ1	7.34	9.98	7.86
TRAPPC3	5.53	6.89	6.05
THRAP3	13.71	12.35	12.8
PHPT1	17.35	20.96	14.46
ENTPD2	2.86	2.98	4.05
LY75	16.61	25.81	29.71
ARID4B	4.89	7.02	6.13
OPN3	5.83	7.82	9.14
SDCCAG8	1.68	1.45	2.67
PTPRN	0	0	0
HHAT	0.32	0.39	0.42
KIF1B	10.63	12.29	12.91
FOXC1	0.35	1.46	1.38
TBC1D22A	5.34	7.32	7.19
SYNE2	0.58	2.09	1.88
PLEKHH1	7.76	7.81	8.22
ATP9A	7.38	10.17	10.04
SPO11	0	0	0
CBLN4	0	0	0
CHRDL2	0	0	0
FAM168A	1.7	1.7	2.4
RELT	0.12	0.18	0.4
GALC	21	30.21	29.46
NOP58	1.27	1.3	0.44
SZRD1	10.28	13.18	9.29
KCNH2	0.07	0.07	0.02
CUL1	5.23	6.07	5.56
FAM114A2	2.98	3.04	2.76
CYFIP2	0.68	0.54	0.31
TAB2	11.91	16.69	17.07
GINM1	10.73	8.66	9.35
EIF2AK2	7.92	11.46	12.7
USP36	1.28	0.55	1.21
KMT2C	10.74	18.05	20.45
MCOLN3	0	0	0
CCDC85A	0	0	0
PUM2	9.6	10.04	9.63
MRPL43	5.08	6.06	6.91
ITIH4	0.01	0	0
ITIH1	0	0	0
HPF1	0.28	0.48	0.39
ZFR	6.61	9.43	8.29
ZNF280C	0.15	0.04	0.17
NPFFR2	0	0.41	0.12
PHF21B	0	0	0
TRAF1	0.26	0.29	0.34
RC3H2	12.59	8.86	11.1
IL17RB	0.28	0.68	1.09
TRAF3IP2	6.4	8.28	7.52
GYG2	0.26	0.54	0.27
DCBLD2	18.89	30.88	29.63
SERPINB3	0	0	0
SOAT1	0.04	0.04	0.03
PKP2	8.04	6.3	5.29
MSH4	0	0	0
F7	0	0	0
GDI2	54.58	78.8	78.94
PRDM1	1.61	1.95	1.17
ATG5	4.5	6.39	5.04
TMCC3	6.92	13.47	11.6
PITHD1	2.66	4.03	2.81
MTA3	2.31	3.6	2.42
USP13	0.13	0	0.17
ATP11B	22.67	28.83	26.37
LAMC2	41.89	69.4	71.29
CDK14	0.2	0.44	0.3
SEC61A1	18.93	19.75	17.94
PPP1R12A	44.83	61.45	63.55
RASGRF1	0	0.02	0.04
CAMK2B	0	0	0
CROCC	0.86	0.25	1.1
POLR3E	3.85	2	2.46
ATP2B4	2.81	6.86	7.25
ZC3H11A	11.28	13.4	12.94
RIOK2	0.92	1.15	1.5
YIPF1	3.63	3.56	4.64
NDC1	0.64	0.37	0.56
DGKG	0.03	0	0.13
FLYWCH1	2.36	1.18	3.15
UNKL	0.77	0.94	1.12
TBXAS1	1.7	0.97	0.77
PARP12	11.46	12.77	9.33
ALDH18A1	26.27	42.09	36.6
TARBP1	0.18	0.28	0.3
GATB	1.95	1.41	1.34
MXD1	45.59	58.23	105.47
CDK17	2.05	2.38	3.16
DNAJC25	2.6	1.29	1.29
SLC2A3	0.01	0	0.07
PSD	0	0.07	0.06
CTDP1	2.35	2.9	3.3
YBX3	19.62	18.58	22.45
STYK1	3.61	3.22	3.73
