GeneSymbol	D4_INT_EPIi_PI_1	D4_INT_EPIi_PI_2	D4_INT_EPIi_LPS_2	D4_INT_EPIi_5OP_1	D4_INT_EPIi_5OP_2	D4_INT_EPIi_C_1	D4_INT_EPIi_C_2	D4_ISO1_EPIi_1	D4_ISO1_EPIi_2	D4_INT_EPIi_LPS_1
SEMA3G	0.07	0.06	0.11	0.36	0.07	0.06	0.09	0	0	0.06
NISCH	4.36	4.02	3.94	3.88	3.86	4.52	5.45	6.12	4.2	4.46
STAB1	0	0.01	0	0	0	0	0	0	0	0
FUZ	0	0.03	0	0.02	0.19	0.03	0.05	0	0.01	0.13
SLC6A13	0.05	0.01	0.05	0	0.01	0	0.01	0	0	0
IDS	5.93	6.61	6.54	7.24	6.04	5.42	8.05	6.85	6.05	7.25
PRSS3	63.44	61.17	60.7	58.75	65.94	65.23	73.48	85.77	63.78	66.75
ZNF200	0.97	0.49	0.71	0.67	0.79	0.76	0.91	3.49	1.99	0.96
CD4	0	0	0	0	0	0.03	0	0	0	0
LRRC23	0.44	0.55	0.46	0.52	0.7	0.33	0.32	0.7	0.14	0.22
BTK	0	0	0	0	0	0	0	0	0	0
HFE	2.07	2.05	1.65	1.75	2.19	3	2.26	5.39	3.6	1.97
SCMH1	1.13	1.59	1.31	0.85	1.07	1.31	1.19	1.19	1.19	1.42
FYN	1.12	1.25	1.73	1.17	0.42	1.29	2.5	2.62	1.17	1.38
HIVEP2	8.02	7.09	6.44	6.72	6.69	6.52	9.66	15.07	13.3	8.2
FMO1	0	0	0	0	0	0	0	0	0	0
ELOA	4.22	5.37	4.27	4.02	4.94	4.58	5.13	7.63	6.09	5.39
LYPLA2	7.67	9.05	9.71	8.42	9.13	11.03	9.85	8.93	6.36	9.21
CLCN6	0.76	0.7	0.5	0.61	0.5	0.9	0.69	1.24	0.85	0.73
MRC2	0	0	0	0.03	0.01	0.01	0.01	0	0.01	0.01
NME1-NME2_ENSG00000011052	0	0	0.09	0.03	0.09	0	0.25	0.2	0	0.05
SLC6A7	0.49	0.17	0.14	0.17	0.17	0.33	0.15	0.11	0.15	0.14
TSPAN9	0.72	0.88	0.83	0.77	0.83	0.98	1.17	1.27	0.85	1.61
BTBD7	5.68	6.32	5.81	5.69	6.6	6.61	7.56	9.12	7.42	8.46
