GeneSymbol	D4_ISO2_HEP_1	D4_ISO1_HEP_L_1	D4_ISO1_HEP_L_2	D4_ISO2_HEP_2	D4_INT_HEP_PI_1	D4_INT_HEP_PI_2	D4_INT_HEP_LPS_1	D4_INT_HEP_LPS_2	D4_INT_HEP_5OP_1	D4_INT_HEP_5OP_2	D4_INT_HEP_C_1	D4_INT_HEP_C_2	D4_INT_HEP_GL_C
ENSG00000287595	2.1	4.75	6.72	6.1	0.07	0	0.16	2.84	0.23	0	0.27	2.5	0
ENSG00000287596	10.85	3.68	5.93	9.5	0	1.81	0	5.13	0	0	0	3.73	0
ENSG00000287597	3.28	1.08	5.43	3.36	0	0	0.02	2.36	0	0	0.68	0.72	0
ENSG00000287598	1.13	0.8	5.93	3.79	0	0	0	0.51	0	0	0	0.53	0
ENSG00000287599	0.91	0	2.89	0	0	0	0	0	0	0	0	0	0
ENSG00000287600	2.34	2.57	3.08	3.36	0	0	0.01	2.84	0.12	0	0	2.25	0
ENSG00000287601	1.56	0.56	0	0	0	0	0	3.18	0	0	0	0	0
ENSG00000287602	0.53	0.49	0.82	0.22	0	0	0	1.43	0.36	0	0	0	0
ENSG00000287603	11.62	10.96	11.66	10.28	2.02	1.47	0.33	7.32	0.23	1.46	1.06	12.96	0
ENSG00000287605	1.01	0.47	1.05	0	0	0	0.43	0.46	0	0	0	0	0
ENSG00000287607	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000287608	2.36	2.46	7.98	1.71	0.02	0	0.15	1.86	0.67	0	0.78	2.94	0
ENSG00000287609	7.27	4.73	8.22	6.85	0.05	0.03	0.08	4.68	0.03	0	0	4.73	0
ENSG00000287610	6.14	6.47	4.81	6.52	0	0	0.04	7.5	0	0	0.23	12.18	0
ENSG00000287611	9.05	8.26	12.33	11.82	0.04	0	0	8.6	1.02	0	0	4.2	0
ENSG00000287612	1.42	3.03	2.98	3.58	0	0	0	0.65	0	0	0	0.88	0
ENSG00000287613	11.16	1.11	8.22	4.74	0.66	0.53	0.07	10.81	0.02	0.74	0.3	2.84	1.21
ENSG00000287614	2.11	1.13	4.15	2	0.16	0	0.26	2.87	0	0	0	2.95	0
ENSG00000287615	7.31	1.2	14.15	3.55	0	0.86	0.07	7.65	0.15	0.69	0	1.31	0
ENSG00000287616	4.3	1.49	13.35	6.67	0	0	0	4.55	0	0	0	4.18	0
ENSG00000287617	0.99	0	0	2.56	0	0	1.1	0	0	0	0	0	0
ENSG00000287618	2.6	1.26	8.22	1.11	0	0	0	0	0	0	0	0.8	0
ENSG00000287619	1.23	0.29	1.6	0.76	0	0	0.02	0.83	0	0	0	0.48	0
ENSG00000287620	5.74	3.59	7.5	7.18	0.03	0	0.84	2.17	0.28	0	0.6	2.23	0
ENSG00000287621	2.92	1.44	4.18	3.92	0	0	0	2.47	0.04	0.03	0.04	0.8	0
ENSG00000287623	6.54	6.39	8.26	11.2	0	0.23	0.23	4.72	0	0	0	5.86	0
ENSG00000287624	2.09	0.5	1.1	5.31	0	0	0	2.84	0	0	0	0.32	0
ENSG00000287625	5.06	3.97	7.1	8.82	0	0	2.78	4.39	0.37	0	0.04	5.72	0
ENSG00000287626	0.66	0.69	1.54	2.87	0	0	0	0.44	0	0	0	1.07	0
ENSG00000287627	0	0.61	1.33	3.24	0	0	0	2.3	0	0	0	0	0
ENSG00000287628	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000287629	3.15	1.99	6.6	3.98	0.1	0.04	0	2.54	0	0	0	2.87	0
ENSG00000287630	3.68	0.85	4.07	2.28	0	0	0	2.7	0	0	0	1.65	0
