GeneSymbol	D3_INT_EPIi_PI_1	D3_INT_EPIi_PI_2	D3_INT_EPIi_LPS_1	D3_INT_EPIi_LPS_2	D3_INT_EPIi_5OP_1	D3_INT_EPIi_5OP_2	D3_INT_EPIi_C_1	D3_INT_EPIi_C_2	D3_ISO1_EPIi_1	D3_ISO1_EPIi_2
HEATR5B	1.35	1.25	1.56	1.4	1.63	2.1	2.6	2.35	1.85	2.2
SEC62	52.51	48.52	50.33	43.73	56.32	63.44	80.37	68.63	34.8	45.53
RPS20	102.33	124.53	115.68	87.29	77.22	108.8	217.75	169.61	78.73	99.56
CSDE1	77.41	60.74	62.53	57.44	70.21	106.26	98.79	90.39	52.56	67.59
UBE3C	4.52	5.41	5.1	4.68	8.38	7.76	13.09	9.25	5.79	6.37
REV3L	0.88	0.94	0.95	0.24	0.48	1.49	5.36	0.68	1.26	0.55
TENM1	0	0	0	0	0	0	0.01	0	0	0
PAX7	0	0	0	0	0	0	0	0	0	0
MASP2	0.05	0.09	0.07	0.11	0.16	0.28	0.15	0.12	0.34	0.14
IYD	1.73	1.28	1.31	1.02	0.88	2.53	3.11	1.45	0.24	0.5
FAM76A	1.41	2.1	2.41	2.73	3.35	3.2	2.59	3.41	3.06	5.7
TRAF3IP3	0.11	0.02	0.11	0.53	0.14	0.35	0.22	0.12	0.08	0.04
POMT2	1.01	0.77	1.05	0.97	1.3	1.33	1.94	1.39	0.56	0.94
VTA1	8.26	7.65	7.52	6.17	8.51	9.67	14.55	13.81	9	10.38
MLXIPL	0.94	1.17	0.81	0.95	1.14	1.39	0.49	1.03	0.45	0.79
BAZ1B	7.43	5.92	5.6	5.28	6.87	7.83	7.84	8.63	5.65	7.94
RANBP9	10.19	8.47	7.59	8.18	9.67	11.3	9.84	9.9	6.21	8.42
ETV7	0.64	0.62	0.83	0.74	0.53	0.95	0.55	0.99	27.51	27.66
SPRTN	1.41	0.72	1.49	0.96	0.85	1.86	1.46	1.23	1.84	2.34
EEF1AKNMT	0.42	0.59	0.71	0.58	0.56	1.42	1.62	1.51	1.53	0.94
DYRK4	0.21	0.28	0.06	0.31	0.04	0	0.49	0.75	1.57	1.87
ZNF207	13.48	11.77	10.89	11.57	13.88	15.4	16.63	13.97	22.31	24.22
UQCRC1	63.45	68.61	67.3	59.16	58.83	73.44	95.79	93.61	40.23	40.85
STARD3NL	1.4	1.47	1.86	1.74	1.85	2.22	2.86	2.76	1.69	1.92
CD9	227.31	209.66	225.85	205.02	243.49	271.18	267.38	283.02	216.26	262.3
HHATL	0	0	0	0	0	0	0	0	0	0
NCAPD2	2.22	2.73	2.52	1.98	2.59	3.05	3.18	3.74	1.59	2.31
IFFO1	0	0.04	0.01	0.02	0.02	0.01	0.06	0.02	0.03	0.08
GIPR	1.07	0.55	0.81	1.12	1.21	1.59	1.02	1.26	0.58	0.85
PHF7	0.24	0.18	0.57	0.26	0.63	0.26	0.35	0.62	0.17	0.26
